Molecule ChEMBL ID,Assay ChEMBL ID,Activity Type,Value,Units,Standard Type,Standard Value,Standard Units,SMILES
CHEMBL68920,CHEMBL674637,,0.041,uM,IC50,41.0,nM,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL68920,CHEMBL621151,,0.3,uM,IC50,300.0,nM,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL68920,CHEMBL615325,,7.82,uM,IC50,7820.0,nM,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69960,CHEMBL674637,,0.17,uM,IC50,170.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69960,CHEMBL621151,,0.04,uM,IC50,40.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69960,CHEMBL615325,,0.44,uM,IC50,440.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL137635,CHEMBL677833,,9.3,uM,IC50,9300.0,nM,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12
CHEMBL306988,CHEMBL674643,,500.0,uM,IC50,500000.0,nM,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1
CHEMBL306988,CHEMBL675639,,,uM,Ki,,nM,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1
CHEMBL66879,CHEMBL674643,,3000.0,uM,IC50,3000000.0,nM,O=C(O)/C=C/c1ccc(O)cc1
CHEMBL66879,CHEMBL675636,,1000.0,uM,Ki,1000000.0,nM,O=C(O)/C=C/c1ccc(O)cc1
CHEMBL77085,CHEMBL674643,,96.0,uM,IC50,96000.0,nM,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL77085,CHEMBL675636,,24.0,uM,Ki,24000.0,nM,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL443268,CHEMBL674637,,5.31,uM,IC50,5310.0,nM,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21
